selling_price,km_driven,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,fuel_CNG,fuel_Diesel,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,car_age
275.0,38.0,0,1,24.7,796.0,47.3,5,0,0,1,0,0,10
290.0,28.0,0,1,19.81,1086.0,68.05,5,0,0,1,0,0,14
280.0,32.0,0,1,14.0,796.0,35.0,5,0,0,1,0,0,9
225.0,44.0,0,1,26.2,998.0,58.2,5,0,0,0,0,0,16
455.0,42.0,0,1,16.47,1198.0,74.0,5,0,0,1,0,0,11
351.0,45.0,0,2,19.81,1086.0,68.05,5,0,0,1,0,0,11
535.0,12.0,0,2,15.04,1598.0,103.6,5,0,0,1,0,0,14
175.0,55.5,0,1,18.2,998.0,67.1,5,0,0,1,0,0,17
525.0,61.5,0,1,18.5,1197.0,82.85,5,0,0,1,0,0,13
600.0,150.0,0,1,26.59,1248.0,74.0,5,0,1,0,1,0,10
565.0,72.0,1,1,19.1,1197.0,82.0,5,0,0,1,0,0,10
120.0,68.0,0,3,19.7,796.0,46.3,5,0,0,1,0,0,18
725.0,110.0,0,1,22.54,1396.0,88.73,5,0,1,0,1,0,9
185.0,77.0,0,2,21.79,998.0,67.05,5,0,0,1,0,0,17
200.0,100.0,0,2,18.8,1248.0,90.0,5,0,1,0,1,0,16
615.0,10.0,0,1,21.21,1197.0,81.8,5,0,0,1,1,0,7
270.0,100.0,0,3,15.37,1196.0,73.0,7,0,0,1,1,0,10
610.0,35.0,0,1,21.4,1197.0,83.1,5,0,0,1,1,0,8
625.0,70.0,1,2,11.79,2179.0,120.0,8,0,1,0,1,0,12
400.0,5.0,0,2,19.0,1194.0,94.68,5,0,0,1,1,0,6
866.0,37.8,0,1,17.0,1591.0,121.3,5,0,0,1,1,0,9
700.0,114.0,0,1,14.3,1798.0,160.0,5,0,0,1,1,0,16
300.0,48.0,0,1,15.8,1172.0,65.0,5,0,0,1,1,0,16
1700.0,32.0,0,1,15.1,2179.0,155.0,7,0,1,0,1,0,7
375.0,100.0,0,1,19.09,1405.0,69.01,5,0,1,0,1,0,10
522.0,150.0,0,2,22.32,1582.0,126.32,5,0,1,0,1,0,13
451.999,69.0,0,1,21.9,1396.0,88.76,5,0,1,0,1,0,13
300.0,100.0,0,2,14.53,1798.0,138.1,5,0,0,1,1,0,17
475.0,13.0,0,1,21.63,998.0,67.04,5,0,0,1,1,0,6
780.0,60.0,0,1,24.3,1248.0,88.5,5,0,1,0,1,0,10
595.0,40.0,0,1,20.85,1197.0,83.14,5,0,0,1,1,0,9
440.0,35.0,0,1,20.51,998.0,67.04,5,0,0,1,1,0,9
400.0,70.0,0,3,20.45,1461.0,83.8,5,0,1,0,1,0,12
1140.0,50.0,0,1,19.67,1582.0,126.2,5,0,1,0,1,0,10
850.0,76.139,0,1,23.0,1498.0,98.96,5,0,1,0,1,0,9
370.0,175.0,0,4,19.3,1248.0,73.9,5,0,1,0,1,0,14
350.0,25.0,0,1,23.01,999.0,67.0,5,0,0,1,1,0,8
360.0,40.0,0,2,23.1,998.0,67.04,5,0,0,1,1,0,11
105.0,65.0,0,4,19.7,796.0,46.3,5,0,0,1,1,0,18
625.0,90.0,0,2,20.77,1248.0,88.76,7,0,1,0,1,0,13
135.0,80.0,0,2,17.92,1086.0,62.1,5,0,0,1,1,0,17
700.0,110.0,0,2,20.77,1248.0,88.76,7,0,1,0,1,0,11
690.0,1.303,0,1,17.8,1198.0,86.7,5,0,0,1,0,0,7
3975.0,31.8,1,1,17.01,1968.0,188.0,5,0,1,0,0,0,8
5150.0,20.0,1,1,22.37,2487.0,214.56,5,0,0,1,0,0,7
3200.0,45.0,1,1,19.33,1999.0,177.0,5,0,1,0,0,0,9
4100.0,17.0,1,1,9.5,3604.0,280.0,5,0,0,1,1,0,9
4500.0,21.0,1,1,12.83,1999.0,148.31,7,0,1,0,0,0,7
6000.0,37.0,1,1,13.5,2987.0,254.79,5,0,1,0,0,0,9
3790.0,29.5,1,1,22.48,1995.0,187.74,5,0,1,0,0,0,8
5800.0,7.5,1,1,16.78,1995.0,190.0,5,0,1,0,0,0,7
1864.999,50.0,1,1,14.67,1798.0,177.46,5,0,0,1,0,0,8
2700.0,35.0,1,1,15.0,2143.0,204.0,5,0,1,0,0,0,10
1750.0,19.0,1,1,13.96,1451.0,141.0,5,0,0,1,0,0,7
795.0,41.0,1,1,18.0,1497.0,117.6,5,0,0,1,0,0,9
625.0,39.0,1,1,14.28,1798.0,138.03,5,0,0,1,0,0,13
3400.0,22.0,1,1,18.0,1969.0,190.0,5,0,1,0,0,0,8
2650.0,53.0,1,1,12.07,2967.0,241.4,7,0,1,0,0,0,11
535.0,40.0,0,1,26.21,1248.0,88.5,5,0,1,0,0,0,11
5850.0,47.0,1,1,13.5,2987.0,282.0,5,0,1,0,0,0,9
975.0,72.2,1,2,10.8,2497.0,150.0,5,0,0,1,0,0,16
805.0,49.9,0,1,16.3,1797.0,147.5,5,0,0,1,0,0,10
2625.0,9.0,1,1,13.6,1999.0,177.0,5,0,1,0,0,0,9
811.0,11.0,0,1,17.0,1198.0,108.5,5,0,0,1,0,0,8
375.0,49.0,0,1,15.04,1598.0,103.6,5,0,0,1,1,0,15
550.0,95.0,0,1,16.3,1797.0,147.5,5,0,0,1,1,0,14
645.0,11.0,1,1,14.3,1598.0,103.5,5,0,0,1,0,0,10
2550.0,18.0,1,1,15.04,1991.0,183.0,5,0,0,1,0,0,8
599.0,46.1,0,1,16.02,1373.0,93.7,7,0,0,1,0,0,12
2700.0,16.0,1,1,14.74,1991.0,181.04,5,0,0,1,0,0,9
875.0,18.0,1,1,15.6,1497.0,116.3,5,0,0,1,0,0,9
894.999,9.654,1,1,19.56,1197.0,81.8,5,0,0,1,0,0,7
175.0,11.0,0,1,23.95,998.0,67.05,5,0,0,1,0,0,15
340.0,24.3,0,1,21.21,1197.0,81.8,5,0,0,1,0,0,14
1525.0,42.163,1,2,11.36,2755.0,171.5,7,0,1,0,0,0,10
1025.0,8.0,1,1,21.5,1497.0,108.5,5,0,1,0,0,0,8
2150.0,30.0,1,1,22.69,1995.0,190.0,5,0,1,0,0,0,10
1900.0,41.0,1,1,19.16,2494.0,157.7,5,0,0,1,0,0,10
2900.0,12.0,1,1,18.12,1995.0,190.0,5,0,1,0,0,0,10
450.0,71.0,1,1,12.1,2362.0,164.7,5,0,0,1,0,0,17
850.0,20.0,0,1,17.5,1373.0,91.1,7,0,0,1,1,0,10
10000.0,30.0,1,1,42.0,1969.0,400.0,4,0,0,1,1,0,9
300.0,100.0,0,2,20.54,1598.0,103.6,5,0,1,0,1,0,15
575.0,9.5,0,1,18.16,1196.0,86.8,5,0,0,1,1,0,8
160.0,120.0,0,1,20.0,1399.0,68.0,5,0,1,0,1,0,15
515.0,36.6,0,1,20.4,1197.0,81.8,5,0,0,1,1,0,11
390.0,50.0,1,2,20.51,998.0,67.0,5,0,0,1,1,0,11
550.0,14.0,0,2,18.6,1197.0,81.83,5,0,0,1,1,0,10
40.0,40.0,0,2,16.1,796.0,37.0,4,0,0,1,1,0,27
220.0,120.0,0,1,21.1,1248.0,73.9,5,0,1,0,1,0,16
425.0,70.0,0,1,18.9,1197.0,82.0,5,0,0,1,1,0,11
480.0,13.0,0,1,19.44,999.0,75.0,5,0,0,1,1,0,7
400.0,60.0,0,2,18.9,1197.0,82.0,5,0,0,1,1,0,12
487.0,35.0,0,1,19.1,1197.0,85.8,5,0,0,1,1,0,12
386.0,44.0,0,2,19.1,1197.0,82.0,5,0,0,1,1,0,10
100.0,120.0,0,2,13.0,1493.0,100.0,5,0,0,1,1,0,21
300.0,60.0,0,1,21.43,1364.0,87.2,5,0,1,0,1,0,16
100.0,60.0,0,1,18.5,796.0,53.0,5,0,0,1,1,0,26
1750.0,30.0,0,2,13.0,2982.0,168.5,7,0,1,0,1,0,12
450.0,15.0,0,2,18.15,1198.0,82.0,6,0,0,1,1,0,10
490.0,90.0,0,1,22.95,1248.0,74.0,5,0,1,0,1,0,9
345.0,47.0,0,2,17.0,1497.0,118.0,5,0,0,1,1,0,17
85.0,90.0,0,1,17.3,993.0,60.0,5,0,0,1,1,0,21
215.0,120.6,0,2,18.9,998.0,67.1,5,0,0,1,1,0,16
320.0,100.0,0,3,16.2,1599.0,103.2,5,0,0,1,1,0,16
459.999,60.0,0,2,20.85,1197.0,83.14,5,0,0,1,1,0,10
65.0,86.0,0,1,15.3,1341.0,83.0,5,0,0,1,1,0,21
720.0,5.0,0,1,18.6,1197.0,81.86,5,0,0,1,1,0,6
800.0,37.0,0,1,28.09,1248.0,88.5,5,0,1,0,1,0,9
520.0,14.0,0,1,20.3,1199.0,84.0,5,0,0,1,1,0,7
580.0,70.0,0,1,20.77,1248.0,88.76,7,0,1,0,1,0,11
600.0,50.0,0,1,17.4,1497.0,117.3,5,0,0,1,1,0,11
290.0,60.0,0,2,19.4,1198.0,86.8,5,0,0,1,1,0,12
360.0,50.0,0,1,26.6,998.0,58.16,5,1,0,0,1,0,10
550.0,50.0,0,1,20.85,1197.0,83.14,5,0,0,1,1,0,9
375.0,70.0,0,1,18.5,1197.0,82.85,5,0,0,1,1,0,13
420.0,35.0,1,1,20.51,998.0,67.0,5,0,0,1,1,0,8
550.0,20.0,0,1,21.21,1197.0,81.8,5,0,0,1,1,0,9
270.0,20.0,0,1,24.7,796.0,47.3,5,0,0,1,1,0,8
700.0,7.8,1,1,22.0,1197.0,81.8,5,0,0,1,1,0,8
500.0,20.0,0,1,20.4,1197.0,81.8,5,0,0,1,1,0,9
1250.0,15.0,0,1,17.6,2179.0,147.94,7,0,1,0,1,0,7
320.0,31.377,0,2,18.5,1197.0,82.85,5,0,0,1,1,0,13
700.0,50.0,0,1,28.4,1248.0,74.02,5,0,1,0,1,0,8
290.0,60.0,0,1,20.51,998.0,67.04,5,0,0,1,1,0,11
550.0,100.0,1,1,14.53,1794.0,138.1,5,0,0,1,1,0,14
265.0,60.0,0,1,19.4,1198.0,86.8,5,0,0,1,1,0,14
830.0,5.0,1,1,21.4,1197.0,83.1,5,0,0,1,1,0,8
800.0,60.0,0,1,14.1,2179.0,147.94,7,0,1,0,1,0,9
160.0,25.0,0,2,19.7,796.0,46.3,5,0,0,1,1,0,15
335.0,30.0,0,1,25.17,799.0,53.3,5,0,0,1,1,0,8
329.0,80.0,0,2,20.63,1198.0,67.0,5,0,0,1,1,0,9
775.0,75.0,0,1,24.3,1248.0,88.5,5,0,1,0,1,0,9
524.0,32.0,0,1,20.14,1197.0,81.86,5,0,0,1,1,0,6
245.0,40.0,0,1,22.74,796.0,47.3,5,0,0,1,1,0,11
275.0,93.0,0,2,17.0,1197.0,80.0,5,0,0,1,1,0,14
520.0,60.0,0,1,17.57,1193.0,88.7,5,0,0,1,1,0,8
550.0,37.0,0,1,16.95,1498.0,97.7,5,0,0,1,1,0,12
910.0,15.0,0,1,17.0,1497.0,121.36,5,0,0,1,1,0,8
300.0,80.0,0,1,19.49,1198.0,67.04,5,0,0,1,1,0,11
350.0,140.0,0,1,20.51,998.0,67.04,5,0,0,1,1,0,10
900.0,70.0,0,1,12.83,2696.0,162.0,7,0,1,0,1,0,13
300.0,120.0,0,2,17.21,1493.0,100.0,7,0,1,0,1,0,13
250.0,110.0,0,2,21.1,1248.0,73.9,5,0,1,0,1,0,16
1100.0,37.0,0,1,19.67,1582.0,126.2,5,0,1,0,1,0,9
270.0,44.0,0,1,25.17,799.0,53.3,5,0,0,1,1,0,10
640.0,80.0,0,1,20.77,1248.0,88.76,7,0,1,0,1,0,11
650.0,125.0,0,1,15.1,2179.0,140.0,7,0,1,0,1,0,11
409.999,13.5,0,1,15.37,1196.0,73.0,5,0,0,1,1,0,9
165.0,75.0,0,1,17.92,1086.0,62.1,5,0,0,1,1,0,15
80.0,120.0,0,2,13.2,1495.0,94.0,5,0,0,1,1,0,19
535.0,120.0,0,1,15.1,2179.0,140.0,7,0,1,0,1,0,14
700.0,70.0,0,1,12.99,2494.0,100.57,7,0,1,0,1,0,13
550.0,70.0,0,1,23.4,1248.0,74.0,5,0,1,0,1,0,13
680.0,15.0,1,1,19.0,1199.0,88.76,5,0,0,1,1,0,7
200.0,53.0,0,2,20.36,1197.0,78.9,5,0,0,1,1,0,17
500.0,120.0,0,2,23.4,1248.0,74.0,5,0,1,0,1,0,12
1000.0,70.0,0,1,24.52,1248.0,88.5,7,0,1,0,1,0,10
110.0,120.0,0,2,14.2,1341.0,82.9,5,0,0,1,1,0,18
320.0,100.0,0,2,18.5,1197.0,80.0,5,0,0,1,1,0,14
350.0,100.0,0,1,20.4,1197.0,83.11,5,0,0,1,1,0,11
170.0,162.5,0,1,19.4,1405.0,70.0,5,0,1,0,1,0,13
800.0,39.0,0,1,22.54,1396.0,88.73,5,0,1,0,1,0,9
500.0,75.0,0,1,26.8,1248.0,74.0,5,0,1,0,1,0,9
1380.0,50.0,1,1,17.6,2179.0,153.86,7,0,1,0,1,0,9
1300.0,40.0,0,1,17.3,1497.0,121.0,8,0,1,0,1,0,7
530.0,92.5,0,1,22.32,1582.0,126.3,5,0,1,0,1,0,13
360.0,158.0,0,1,23.4,1248.0,74.0,5,0,1,0,1,0,14
310.0,120.0,0,1,19.3,1248.0,73.9,5,0,1,0,1,0,14
725.0,50.0,0,2,26.0,1498.0,98.6,5,0,1,0,1,0,11
340.0,110.0,0,1,19.3,1248.0,73.9,5,0,1,0,1,0,14
550.0,2.0,0,2,25.4,1186.0,73.97,5,0,1,0,1,0,9
1150.0,181.0,0,2,11.5,2982.0,171.0,7,0,1,0,1,0,15
380.0,70.0,0,1,27.28,1047.0,69.0,5,0,1,0,1,0,10
350.0,90.0,1,2,17.97,1498.0,99.6,5,0,0,1,1,0,13
610.0,2.0,0,1,18.6,1197.0,81.86,5,0,0,1,1,0,7
525.0,20.0,0,1,20.85,1197.0,83.14,5,0,0,1,1,0,11
480.0,120.0,0,1,12.8,2494.0,102.0,7,0,1,0,1,0,15
780.0,35.0,0,1,16.55,2498.0,105.0,6,0,1,0,1,0,9
320.0,193.0,0,1,19.3,1248.0,73.9,5,0,1,0,1,0,14
375.0,80.0,0,1,20.4,1197.0,81.8,5,0,0,1,1,0,12
300.0,40.0,0,1,19.02,1198.0,67.05,5,0,0,1,1,0,7
500.0,70.0,0,4,22.54,1396.0,88.73,5,0,1,0,1,0,11
404.0,122.358,0,1,12.05,2179.0,120.0,9,0,1,0,1,0,15
500.0,75.0,0,1,14.07,2956.0,69.01,7,0,1,0,1,0,11
350.0,120.0,0,1,27.28,1047.0,69.0,5,0,1,0,1,0,9
380.0,40.0,0,1,17.57,1193.0,88.7,5,0,0,1,1,0,11
114.999,95.2,0,3,13.2,1495.0,94.0,5,0,0,1,1,0,18
335.0,33.033,0,1,19.4,1198.0,86.8,5,0,0,1,0,0,12
465.0,63.063,1,1,18.9,1197.0,82.0,5,0,0,1,0,0,11
290.0,60.0,0,1,21.02,1248.0,88.76,5,0,1,0,1,0,14
110.0,45.0,0,2,19.7,796.0,46.3,5,0,0,1,1,0,21
450.0,80.0,0,3,11.57,2179.0,138.1,7,0,1,0,1,0,15
400.0,170.0,0,2,13.6,2523.0,63.0,7,0,1,0,1,0,17
210.0,207.89,0,2,13.6,2523.0,63.0,7,0,1,0,1,0,19
4600.0,7.976,1,1,17.9,2143.0,170.0,5,0,1,0,1,0,8
220.0,35.0,0,1,16.8,796.0,34.2,8,0,0,1,1,0,10
450.0,35.0,0,1,18.9,1197.0,82.0,5,0,0,1,1,0,9
450.0,35.0,0,1,18.9,1197.0,82.0,5,0,0,1,1,0,9
290.0,50.0,1,1,16.95,1197.0,78.9,5,0,0,1,1,0,13
520.0,20.0,0,1,20.4,1197.0,81.8,5,0,0,1,1,0,10
265.0,20.0,1,1,16.95,1197.0,78.9,5,0,0,1,1,0,15
330.0,50.0,0,2,18.6,1197.0,85.8,5,0,0,1,1,0,14
330.0,50.0,0,2,18.6,1197.0,85.8,5,0,0,1,1,0,14
509.999,120.0,0,1,15.96,2523.0,62.1,7,0,1,0,1,0,12
500.0,70.0,0,1,17.1,1591.0,121.3,5,0,0,1,1,0,12
525.0,50.0,0,1,17.19,1197.0,81.86,5,0,0,1,1,0,11
675.0,16.5,0,1,21.01,1197.0,81.8,5,0,0,1,1,0,7
300.0,70.0,0,1,17.0,1197.0,80.0,5,0,0,1,1,0,16
90.0,99.361,0,2,19.7,796.0,46.3,5,0,0,1,1,0,21
650.0,25.0,0,1,26.59,1248.0,74.0,5,0,1,0,1,0,9
409.0,70.0,0,2,19.1,1197.0,85.8,5,0,0,1,1,0,12
395.0,80.0,0,2,24.0,1120.0,70.0,5,0,1,0,1,0,11
400.0,70.0,0,2,19.1,1197.0,85.8,5,0,0,1,1,0,12
120.0,60.0,0,3,18.6,1199.0,79.4,5,0,0,1,1,0,14
645.0,10.0,1,1,20.3,1199.0,84.0,5,0,0,1,1,0,8
81.0,80.0,0,1,16.1,796.0,37.0,4,0,0,1,1,0,20
1300.0,30.0,0,1,25.6,1498.0,97.9,5,0,1,0,1,0,9
1250.0,33.0,0,1,25.6,1498.0,97.9,5,0,1,0,1,0,9
535.0,90.0,0,3,16.02,1373.0,93.7,7,0,0,1,1,0,13
555.0,80.1,0,2,19.01,1461.0,108.5,5,0,1,0,1,0,12
725.0,120.0,0,1,17.4,1497.0,117.3,5,0,0,1,1,0,12
229.999,40.0,0,1,25.17,799.0,53.3,5,0,0,1,1,0,10
800.0,160.0,0,2,12.99,2494.0,100.6,8,0,1,0,1,0,13
409.999,47.0,0,1,20.51,998.0,67.04,5,0,0,1,1,0,9
1210.0,25.0,0,1,21.38,1396.0,88.7,5,0,1,0,1,0,8
400.0,26.0,0,1,23.84,1199.0,84.0,5,0,0,1,1,0,9
520.0,29.0,0,1,24.0,1186.0,73.97,5,0,1,0,1,0,8
650.0,50.0,1,1,21.4,1197.0,83.1,5,0,0,1,1,0,10
325.0,58.0,0,3,16.1,1298.0,88.2,5,0,0,1,1,0,15
420.0,120.0,1,1,17.4,1197.0,85.8,5,0,0,1,1,0,14
400.0,50.0,0,1,20.4,1197.0,81.8,5,0,0,1,1,0,12
254.999,80.0,0,4,17.0,1197.0,80.0,5,0,0,1,1,0,16
65.0,60.0,0,4,17.3,993.0,60.0,5,0,0,1,1,0,23
351.0,36.0,0,1,23.1,998.0,67.04,5,0,0,1,1,0,9
404.0,120.0,0,3,12.8,2494.0,102.0,8,0,1,0,1,0,19
185.0,185.0,0,3,21.1,1248.0,73.9,5,0,1,0,1,0,15
250.0,50.0,0,1,23.08,1461.0,63.1,5,0,1,0,1,0,15
60.0,100.0,0,4,17.3,993.0,60.0,5,0,0,1,1,0,24
500.0,50.0,0,2,17.1,1591.0,121.3,5,0,0,1,1,0,13
85.0,80.0,0,2,18.2,998.0,67.1,5,0,0,1,1,0,19
85.0,80.0,0,4,19.7,796.0,46.3,5,0,0,1,1,0,21
265.0,90.0,0,4,19.3,1248.0,73.9,5,0,1,0,1,0,15
130.0,162.0,0,2,19.0,998.0,66.1,5,0,0,1,1,0,16
480.0,110.0,0,3,20.77,1248.0,88.76,7,0,1,0,1,0,13
170.0,120.0,0,3,17.8,1248.0,75.0,5,0,1,0,1,0,18
275.0,45.0,0,1,23.08,1461.0,63.1,5,0,1,0,1,0,15
89.0,90.0,0,2,18.9,998.0,67.1,5,0,0,1,1,0,21
170.0,90.0,0,2,20.0,1399.0,68.0,5,0,1,0,1,0,16
1090.0,16.5,0,1,17.0,1197.0,110.0,5,0,0,1,0,0,7
1100.0,67.0,1,1,17.01,1582.0,126.2,5,0,1,0,1,0,9
610.0,52.0,0,1,22.0,1197.0,81.8,5,0,0,1,0,0,8
335.0,40.0,0,1,20.63,1198.0,67.0,5,0,0,1,0,0,10
434.999,40.0,0,1,18.9,1197.0,82.0,5,0,0,1,0,0,11
3000.0,35.0,0,1,14.24,2755.0,174.5,7,0,1,0,1,0,8
390.0,13.0,0,1,20.71,799.0,53.26,5,0,0,1,0,0,8
325.0,40.0,0,1,18.5,1198.0,86.8,5,0,0,1,0,0,14
640.0,10.0,0,1,17.0,1198.0,73.75,5,0,0,1,0,0,7
450.0,9.0,0,1,16.95,1498.0,97.7,5,0,0,1,0,0,14
400.0,70.0,0,2,23.59,1364.0,67.06,5,0,1,0,0,0,13
215.0,60.0,0,1,20.36,1197.0,78.9,5,0,0,1,0,0,17
570.0,40.0,0,1,20.45,1461.0,83.8,5,0,1,0,0,0,12
680.0,93.0,0,1,15.1,2179.0,140.0,7,0,1,0,0,0,14
325.0,80.0,0,4,12.8,2494.0,102.0,7,0,1,0,1,0,18
150.0,50.0,0,2,15.64,1193.0,64.08,5,0,0,1,1,0,15
690.0,68.0,1,1,14.5,1797.0,147.5,5,0,0,1,0,0,13
1550.0,25.0,1,1,14.84,2143.0,170.0,5,0,1,0,1,0,13
64.0,18.0,0,1,25.4,624.0,37.5,4,0,0,1,0,0,14
250.0,120.0,0,1,23.08,1461.0,63.1,5,0,1,0,1,0,13
65.0,35.0,0,1,18.9,998.0,67.1,5,0,0,1,1,0,21
550.0,60.0,0,2,26.59,1248.0,74.0,5,0,1,0,1,0,10
